  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
4.279402 ,  202
4.283473 ,  205
4.287545 ,  219
4.291617 ,  211
4.295688 ,  241
4.299760 ,  239
4.303832 ,  237
4.307904 ,  217
4.311975 ,  232
4.316047 ,  219
4.320119 ,  188
4.324191 ,  221
4.328262 ,  222
4.332334 ,  224
4.336406 ,  227
4.340478 ,  216
4.344549 ,  210
4.348621 ,  208
4.352693 ,  231
4.356765 ,  213
4.360836 ,  227
4.364908 ,  219
4.368980 ,  205
4.373052 ,  211
4.377123 ,  232
4.381195 ,  210
4.385267 ,  188
4.389339 ,  230
4.393410 ,  210
4.397482 ,  221
4.401554 ,  212
4.405626 ,  232
4.409697 ,  212
4.413769 ,  202
4.417841 ,  241
4.421913 ,  216
4.425984 ,  203
4.430056 ,  220
4.434128 ,  211
4.438199 ,  225
4.442271 ,  207
4.446343 ,  199
4.450415 ,  206
4.454486 ,  209
4.458558 ,  215
4.462630 ,  211
4.466702 ,  223
4.470773 ,  224
4.474845 ,  212
4.478917 ,  203
4.482989 ,  210
4.487060 ,  197
4.491132 ,  209
4.495204 ,  214
4.499276 ,  214
4.503347 ,  201
4.507419 ,  242
4.511491 ,  206
4.515563 ,  202
4.519634 ,  222
4.523706 ,  227
4.527778 ,  201
4.531850 ,  193
4.535921 ,  204
4.539993 ,  211
4.544065 ,  214
4.548137 ,  199
4.552208 ,  213
4.556280 ,  206
4.560352 ,  183
4.564424 ,  200
4.568495 ,  187
4.572567 ,  213
4.576639 ,  198
4.580710 ,  191
4.584782 ,  174
4.588854 ,  220
4.592926 ,  233
4.596997 ,  204
4.601069 ,  210
4.605141 ,  184
4.609213 ,  198
4.613284 ,  189
4.617356 ,  205
4.621428 ,  208
4.625500 ,  200
4.629571 ,  214
4.633643 ,  208
4.637715 ,  215
